Asset,Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
ftse250,Buy & Hold 1x,1.0,8.87,15.33,0.305,0.376,0.161,-54.94,3107.57,1985-12-31,2026-06-19,40.47,0.0,0.0,2,1.0,0,0,0,0,0.2,0.0,0.0
ftse250,Buy & Hold 2x,2.0,9.08,30.66,0.281,0.346,0.109,-83.18,3367.11,1985-12-31,2026-06-19,40.47,0.0,0.0,2,2.0,0,0,0,1,0.2,0.0,0.0
ftse250,SMA20 1x/cash,1.0,10.97,9.48,1.181,1.214,0.302,-36.36,6730.5,1985-12-31,2026-06-19,40.47,40.3,22.8,922,1.0,1,1,1,1,0.2,1.0,1.0
ftse250,SMA20 2x/cash,2.0,16.03,18.95,1.159,1.194,0.236,-67.96,40958.19,1985-12-31,2026-06-19,40.47,40.3,22.8,922,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,SMA200 1x/cash,1.0,8.15,9.74,0.473,0.471,0.282,-28.92,2379.5,1985-12-31,2026-06-19,40.47,34.2,6.3,254,1.0,1,1,1,0,0.2,1.0,1.0
ftse250,SMA200 2x/cash,2.0,9.35,19.47,0.45,0.448,0.162,-57.58,3717.89,1985-12-31,2026-06-19,40.47,34.2,6.3,254,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,SMA50/200 Golden Cross 1x/cash,1.0,6.95,10.95,0.164,0.152,0.152,-45.73,1514.52,1985-12-31,2026-06-19,40.47,34.6,1.5,62,1.0,0,0,1,0,0.2,0.0,1.0
ftse250,SMA50/200 Golden Cross 2x/cash,2.0,6.67,21.91,0.143,0.133,0.088,-75.56,1360.02,1985-12-31,2026-06-19,40.47,34.6,1.5,62,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,SMA200 +-3% Band 1x/cash,1.0,9.27,9.84,0.461,0.454,0.46,-20.14,3599.93,1985-12-31,2026-06-19,40.47,35.1,1.2,50,1.0,1,1,1,1,0.2,1.0,1.0
ftse250,SMA200 +-3% Band 2x/cash,2.0,11.63,19.69,0.438,0.432,0.267,-43.6,8560.26,1985-12-31,2026-06-19,40.47,35.1,1.2,50,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,SMA200 +-3% Band + RSI>30 Exit 1x/cash,1.0,7.71,10.88,0.257,0.241,0.179,-43.15,2013.89,1985-12-31,2026-06-19,40.47,33.5,1.2,50,1.0,0,1,1,0,0.2,0.0,1.0
ftse250,SMA200 +-3% Band + RSI>30 Exit 2x/cash,2.0,8.16,21.76,0.235,0.221,0.114,-71.35,2387.0,1985-12-31,2026-06-19,40.47,33.5,1.2,50,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,MACD 1x/cash,1.0,9.77,9.44,0.961,0.935,0.266,-36.68,4334.73,1985-12-31,2026-06-19,40.47,50.1,18.0,730,1.0,1,1,1,1,0.2,1.0,1.0
ftse250,MACD 2x/cash,2.0,13.45,18.87,0.942,0.917,0.2,-67.31,16486.97,1985-12-31,2026-06-19,40.47,50.1,18.0,730,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,BB Mean Reversion 1x/cash,1.0,3.79,10.28,-0.31,-0.183,0.099,-38.28,450.36,1985-12-31,2026-06-19,40.47,77.3,7.9,319,1.0,0,0,1,0,0.2,0.0,1.0
ftse250,BB Mean Reversion 2x/cash,2.0,2.51,20.56,-0.319,-0.189,0.032,-77.4,271.99,1985-12-31,2026-06-19,40.47,77.3,7.9,319,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,Momentum 12m 1x/cash,1.0,7.57,10.31,0.301,0.291,0.181,-41.75,1914.21,1985-12-31,2026-06-19,40.47,33.6,3.6,146,1.0,0,1,1,0,0.2,0.0,1.0
ftse250,Momentum 12m 2x/cash,2.0,8.01,20.62,0.278,0.27,0.118,-68.19,2259.57,1985-12-31,2026-06-19,40.47,33.6,3.6,146,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,Guarded A5/B25 2x,2.0,15.06,18.16,1.122,1.13,0.241,-62.44,29093.12,1985-12-31,2026-06-19,40.47,40.4,23.2,937,1.85,1,1,0,1,0.2,1.0,0.0
ftse250,Guarded A10/B20 2x,2.0,13.45,17.27,1.038,1.038,0.224,-60.1,16473.7,1985-12-31,2026-06-19,40.47,40.4,23.0,930,1.66,1,1,0,1,0.2,1.0,0.0
ftse250,Guarded+ (200/2x/floor) 2x,2.0,10.45,16.65,0.517,0.53,0.262,-39.82,5565.49,1985-12-31,2026-06-19,40.47,34.2,6.6,268,1.65,1,1,1,1,0.2,1.0,0.0
ftse250,Golden 2x volguard,2.0,7.8,20.79,0.211,0.203,0.103,-75.39,2082.71,1985-12-31,2026-06-19,40.47,34.6,3.2,128,1.98,0,0,0,0,0.2,0.0,0.0
ftse250,SMA200 2x monthly,2.0,5.71,22.48,0.111,0.103,0.075,-76.36,943.2,1985-12-31,2026-06-19,40.47,34.9,1.6,64,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,SMA200 2x 3% band,2.0,11.63,19.69,0.438,0.432,0.267,-43.6,8560.26,1985-12-31,2026-06-19,40.47,35.1,1.2,50,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,Mom 12m 2x/cash,2.0,8.01,20.62,0.278,0.27,0.118,-68.19,2259.57,1985-12-31,2026-06-19,40.47,33.6,3.6,146,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,RSI Scale 1-2x,2.0,5.33,14.36,0.02,0.016,0.08,-66.39,817.12,1985-12-31,2026-06-19,40.47,33.5,4.2,171,1.05,0,0,0,0,0.2,0.0,1.0
ftse250,VIX Scale 1-2x,2.0,5.77,14.11,0.136,0.116,0.086,-66.79,965.66,1985-12-31,2026-06-19,40.47,33.5,5.4,220,1.07,0,0,0,0,0.2,0.0,1.0
ftse250,Distance Scale 1-2x,2.0,8.61,17.52,0.336,0.318,0.218,-39.49,2824.0,1985-12-31,2026-06-19,40.47,35.1,5.7,230,1.7,1,1,1,0,0.2,0.0,0.0
ftse250,DD Scale 1-2x,2.0,10.31,11.8,0.509,0.492,0.475,-21.67,5282.78,1985-12-31,2026-06-19,40.47,35.1,2.4,98,1.07,1,1,1,1,0.2,1.0,1.0
ftse250,BB Scale 1-2x,2.0,6.96,11.65,0.292,0.252,0.208,-33.4,1521.08,1985-12-31,2026-06-19,40.47,35.1,8.3,336,1.04,0,1,1,0,0.2,0.0,1.0
ftse250,SMA200 +-3% Band + RSI Scale 1-2x,2.0,5.33,14.36,0.02,0.016,0.08,-66.39,817.12,1985-12-31,2026-06-19,40.47,33.5,4.2,171,1.05,0,0,0,0,0.2,0.0,1.0
ftse250,SMA200 +-3% Band + VIX Scale 1-2x,2.0,5.77,14.11,0.136,0.116,0.086,-66.79,965.66,1985-12-31,2026-06-19,40.47,33.5,5.4,220,1.07,0,0,0,0,0.2,0.0,1.0
ftse250,SMA200 +-3% Band + RSI>30 Exit + RSI Scale 1-2x,2.0,5.33,14.36,0.02,0.016,0.08,-66.39,817.12,1985-12-31,2026-06-19,40.47,33.5,4.2,171,1.05,0,0,0,0,0.2,0.0,1.0
ftse250,SMA200 +-3% Band + RSI>30 Exit + VIX Scale 1-2x,2.0,5.77,14.11,0.136,0.116,0.086,-66.79,965.66,1985-12-31,2026-06-19,40.47,33.5,5.4,220,1.07,0,0,0,0,0.2,0.0,1.0
ftse250,SMA50 1x/cash,1.0,9.01,9.45,0.775,0.8,0.238,-37.81,3273.77,1985-12-31,2026-06-19,40.47,38.3,14.1,572,1.0,1,1,1,1,0.2,1.0,1.0
ftse250,SMA50 2x/cash,2.0,11.57,18.89,0.752,0.777,0.16,-72.38,8363.83,1985-12-31,2026-06-19,40.47,38.3,14.1,572,2.0,1,0,0,1,0.2,1.0,0.0
ftse250,SMA100 1x/cash,1.0,7.74,9.26,0.565,0.582,0.223,-34.79,2041.99,1985-12-31,2026-06-19,40.47,36.6,10.8,438,1.0,1,1,1,0,0.2,1.0,1.0
ftse250,SMA100 2x/cash,2.0,8.74,18.53,0.541,0.558,0.123,-71.12,2963.44,1985-12-31,2026-06-19,40.47,36.6,10.8,438,2.0,1,0,0,0,0.2,1.0,0.0
ftse250,EMA20 1x/cash,1.0,9.77,9.48,1.124,1.158,0.223,-43.78,4330.98,1985-12-31,2026-06-19,40.47,38.8,25.6,1036,1.0,1,1,1,1,0.2,1.0,1.0
ftse250,EMA20 2x/cash,2.0,13.48,18.96,1.101,1.136,0.163,-82.7,16666.9,1985-12-31,2026-06-19,40.47,38.8,25.6,1036,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,EMA50 1x/cash,1.0,9.08,9.36,0.848,0.89,0.242,-37.46,3366.68,1985-12-31,2026-06-19,40.47,36.2,16.4,664,1.0,1,1,1,1,0.2,1.0,1.0
ftse250,EMA50 2x/cash,2.0,11.81,18.72,0.825,0.867,0.152,-77.47,9133.9,1985-12-31,2026-06-19,40.47,36.2,16.4,664,2.0,1,0,0,1,0.2,1.0,0.0
ftse250,EMA100 1x/cash,1.0,8.27,9.41,0.654,0.685,0.188,-44.08,2489.47,1985-12-31,2026-06-19,40.47,34.1,11.7,474,1.0,1,1,1,0,0.2,1.0,1.0
ftse250,EMA100 2x/cash,2.0,9.95,18.81,0.63,0.661,0.126,-78.81,4638.59,1985-12-31,2026-06-19,40.47,34.1,11.7,474,2.0,1,0,0,1,0.2,1.0,0.0
ftse250,EMA200 1x/cash,1.0,7.91,9.93,0.497,0.511,0.213,-37.12,2170.07,1985-12-31,2026-06-19,40.47,30.0,8.4,338,1.0,1,1,1,0,0.2,1.0,1.0
ftse250,EMA200 2x/cash,2.0,8.83,19.87,0.472,0.487,0.132,-67.03,3068.39,1985-12-31,2026-06-19,40.47,30.0,8.4,338,2.0,1,0,0,0,0.2,1.0,0.0
ftse250,SMA200 +-1% Band 2x,2.0,10.01,19.55,0.407,0.405,0.192,-51.99,4730.62,1985-12-31,2026-06-19,40.47,34.8,2.9,118,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,SMA200 +-2% Band 2x,2.0,10.45,19.71,0.391,0.384,0.209,-49.98,5569.86,1985-12-31,2026-06-19,40.47,35.4,1.8,74,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,SMA200 +-5% Band 2x,2.0,9.52,20.1,0.318,0.32,0.18,-52.89,3952.38,1985-12-31,2026-06-19,40.47,33.5,1.0,39,2.0,1,1,1,1,0.2,0.0,0.0
ftse250,SMA200 +-10% Band 2x,2.0,7.61,20.21,0.198,0.186,0.125,-60.89,1943.77,1985-12-31,2026-06-19,40.47,39.1,0.6,23,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,SMA50 +-3% Band 2x,2.0,9.71,19.47,0.396,0.419,0.155,-62.74,4240.45,1985-12-31,2026-06-19,40.47,35.7,3.2,130,2.0,1,0,0,1,0.2,1.0,0.0
ftse250,SMA100 +-3% Band 2x,2.0,11.24,18.81,0.441,0.448,0.248,-45.29,7424.9,1985-12-31,2026-06-19,40.47,38.4,2.1,85,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,SMA20/50 Cross 2x,2.0,5.99,20.57,0.221,0.213,0.089,-67.52,1051.97,1985-12-31,2026-06-19,40.47,38.8,5.3,216,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,SMA20/100 Cross 2x,2.0,8.21,20.44,0.249,0.238,0.121,-67.74,2428.77,1985-12-31,2026-06-19,40.47,36.7,3.2,128,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,SMA10/50 Cross 2x,2.0,8.45,19.62,0.401,0.4,0.128,-66.23,2660.2,1985-12-31,2026-06-19,40.47,38.5,6.2,252,2.0,1,0,0,0,0.2,1.0,0.0
ftse250,SMA50/200 Cross +-3% Band 2x,2.0,11.63,19.69,0.438,0.432,0.267,-43.6,8560.26,1985-12-31,2026-06-19,40.47,35.1,1.2,50,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,SMA200 +-3% Band + RSI>20 Exit 2x,2.0,12.13,19.8,0.465,0.462,0.321,-37.79,10278.06,1985-12-31,2026-06-19,40.47,34.9,1.2,50,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,SMA200 +-3% Band + RSI>25 Exit 2x,2.0,11.39,19.94,0.425,0.423,0.257,-44.31,7843.86,1985-12-31,2026-06-19,40.47,34.5,1.2,50,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,SMA200 +-3% Band + RSI>35 Exit 2x,2.0,7.77,22.15,0.213,0.202,0.106,-73.49,2064.84,1985-12-31,2026-06-19,40.47,32.5,1.2,50,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,SMA200 +-3% Band + RSI>40 Exit 2x,2.0,7.53,22.67,0.195,0.186,0.105,-71.97,1880.12,1985-12-31,2026-06-19,40.47,31.4,1.2,50,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,Above SMA20 AND SMA200 -> 2x,2.0,10.64,14.72,0.977,0.868,0.143,-74.22,5960.78,1985-12-31,2026-06-19,40.47,54.1,18.2,736,2.0,1,0,0,1,0.2,1.0,1.0
ftse250,Above SMA50 AND SMA200 -> 2x,2.0,10.63,15.84,0.742,0.685,0.185,-57.55,5958.86,1985-12-31,2026-06-19,40.47,49.2,11.8,476,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,Above SMA20 AND SMA50 AND SMA200 -> 2x,2.0,10.33,14.16,0.946,0.808,0.149,-69.31,5325.63,1985-12-31,2026-06-19,40.47,57.5,16.8,680,2.0,1,0,0,1,0.2,1.0,1.0
ftse250,Target 12% annualized vol 1-3x,3.0,7.09,17.18,0.325,0.412,0.123,-57.84,1594.42,1985-12-31,2026-06-19,40.47,0.0,249.7,10106,1.19,1,0,0,0,0.2,1.0,0.0
ftse250,Target 15% annualized vol 1-3x,3.0,5.96,19.49,0.263,0.332,0.09,-66.04,1040.32,1985-12-31,2026-06-19,40.47,0.0,243.2,9842,1.48,0,0,0,0,0.2,0.0,0.0
ftse250,Target 20% annualized vol 1-3x,3.0,6.33,23.66,0.297,0.384,0.08,-79.0,1196.22,1985-12-31,2026-06-19,40.47,0.0,219.5,8882,1.89,0,0,0,0,0.2,1.0,0.0
ftse250,Target 15% vol with SMA200 filter,3.0,7.2,14.45,0.468,0.474,0.13,-55.24,1660.53,1985-12-31,2026-06-19,40.47,34.2,161.1,6517,1.65,1,0,0,0,0.2,1.0,1.0
ftse250,Guarded A5/B25 with SMA50 lead,2.0,11.08,17.62,0.722,0.717,0.177,-62.43,6998.67,1985-12-31,2026-06-19,40.47,38.4,14.4,584,1.74,1,1,0,1,0.2,1.0,0.0
ftse250,Guarded A5/B25 with SMA100 lead,2.0,9.37,17.45,0.585,0.594,0.144,-65.18,3737.43,1985-12-31,2026-06-19,40.47,36.6,11.3,459,1.84,1,0,0,1,0.2,1.0,0.0
ftse250,Guarded A5/B25 with SMA200 lead,2.0,9.99,18.85,0.496,0.492,0.185,-54.06,4709.13,1985-12-31,2026-06-19,40.47,34.2,6.9,279,1.91,1,1,1,1,0.2,1.0,0.0
ftse250,Guarded A10/B20 with SMA50 lead,2.0,10.72,16.58,0.717,0.72,0.172,-62.32,6138.47,1985-12-31,2026-06-19,40.47,38.4,14.4,582,1.61,1,1,0,1,0.2,1.0,0.0
ftse250,Guarded A3/B15 with SMA20 lead,2.0,15.15,18.44,1.129,1.145,0.228,-66.55,30054.67,1985-12-31,2026-06-19,40.47,40.4,23.2,937,1.89,1,1,0,1,0.2,1.0,0.0
ftse250,Guarded A5/B15 with SMA20 lead,2.0,14.99,18.3,1.115,1.124,0.237,-63.39,28462.85,1985-12-31,2026-06-19,40.47,40.4,23.1,935,1.86,1,1,0,1,0.2,1.0,0.0
ftse250,SMA200 2x + 10% trailing stop,2.0,8.72,19.34,0.425,0.421,0.152,-57.43,2941.98,1985-12-31,2026-06-19,40.47,34.3,6.5,264,2.0,1,0,0,0,0.2,1.0,0.0
ftse250,SMA200 2x + 15% trailing stop,2.0,9.35,19.47,0.45,0.448,0.162,-57.58,3717.89,1985-12-31,2026-06-19,40.47,34.2,6.3,254,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,SMA200 +-3% Band 2x + 10% trailing stop,2.0,10.81,19.52,0.412,0.403,0.248,-43.6,6353.87,1985-12-31,2026-06-19,40.47,35.2,1.8,72,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,SMA200 +-3% Band 2x + 15% trailing stop,2.0,11.63,19.69,0.438,0.432,0.267,-43.6,8560.26,1985-12-31,2026-06-19,40.47,35.1,1.2,50,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,SMA200 2x + VIX>20 de-lever to 1x,2.0,9.1,16.94,0.545,0.536,0.165,-55.19,3391.56,1985-12-31,2026-06-19,40.47,34.2,14.4,581,1.79,1,1,0,1,0.2,1.0,0.0
ftse250,SMA200 2x + VIX>25 de-lever to 1x,2.0,9.47,18.41,0.497,0.501,0.184,-51.36,3885.26,1985-12-31,2026-06-19,40.47,34.2,9.7,393,1.94,1,1,1,1,0.2,1.0,0.0
ftse250,SMA200 2x + VIX>30 de-lever to 1x,2.0,9.65,19.02,0.478,0.483,0.169,-56.98,4144.51,1985-12-31,2026-06-19,40.47,34.2,7.3,294,1.99,1,1,0,1,0.2,1.0,0.0
ftse250,SMA200 +-3% Band 2x + VIX>25 de-lever to 1x,2.0,11.16,18.49,0.474,0.471,0.253,-44.07,7206.17,1985-12-31,2026-06-19,40.47,35.1,5.4,220,1.93,1,1,1,1,0.2,1.0,0.0
ftse250,Momentum 3m 2x/cash,2.0,7.37,19.06,0.442,0.449,0.114,-64.71,1771.63,1985-12-31,2026-06-19,40.47,37.4,10.9,440,2.0,1,0,0,0,0.2,1.0,0.0
ftse250,Momentum 6m 2x/cash,2.0,10.05,20.02,0.437,0.431,0.165,-60.86,4802.89,1985-12-31,2026-06-19,40.47,34.8,5.9,238,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,Momentum 9m 2x/cash,2.0,8.13,20.3,0.31,0.299,0.137,-59.4,2359.71,1985-12-31,2026-06-19,40.47,34.0,5.1,206,2.0,1,0,0,0,0.2,0.0,0.0
ftse250,"Keltner(20, 2ATR) breakout 2x",2.0,13.7,18.55,0.744,0.749,0.188,-72.83,18035.41,1985-12-31,2026-06-19,40.47,40.9,7.8,314,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,"Keltner(20, 1.5ATR) breakout 2x",2.0,17.15,18.74,0.932,0.957,0.281,-61.02,60328.27,1985-12-31,2026-06-19,40.47,40.3,9.2,372,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,Donchian(20) breakout 2x,2.0,5.98,0.15,-0.005,-0.395,4106.063,-0.0,1046.64,1985-12-31,2026-06-19,40.47,100.0,0.0,1,0.0,0,1,1,0,0.2,0.0,1.0
ftse250,Donchian(55) breakout 2x,2.0,5.98,0.15,-0.005,-0.395,4106.063,-0.0,1046.64,1985-12-31,2026-06-19,40.47,100.0,0.0,1,0.0,0,1,1,0,0.2,0.0,1.0
ftse250,MACD 2x/cash,2.0,13.45,18.87,0.942,0.917,0.2,-67.31,16486.97,1985-12-31,2026-06-19,40.47,50.1,18.0,730,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,MACD 5/35/5 2x,2.0,11.5,19.36,1.094,1.07,0.165,-69.61,8177.71,1985-12-31,2026-06-19,40.47,49.7,31.0,1254,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,MACD 8/17/9 2x,2.0,12.22,19.12,0.985,0.937,0.223,-54.7,10598.82,1985-12-31,2026-06-19,40.47,50.8,23.4,946,2.0,1,1,1,1,0.2,1.0,0.0
ftse250,RSI 30/70 2x,2.0,2.04,14.07,-0.523,-0.158,0.031,-65.86,226.37,1985-12-31,2026-06-19,40.47,93.7,7.4,299,2.0,0,0,0,0,0.2,0.0,1.0
ftse250,RSI 40/60 2x,2.0,0.23,19.76,-0.486,-0.256,0.003,-83.22,109.54,1985-12-31,2026-06-19,40.47,82.1,15.8,639,2.0,0,0,0,0,0.2,0.0,0.0
ftse250,RSI 25/75 2x,2.0,2.59,11.61,-0.475,-0.102,0.047,-55.6,281.23,1985-12-31,2026-06-19,40.47,96.6,4.1,167,2.0,0,0,0,0,0.2,0.0,1.0
ftse250,RSI momentum 2x,2.0,14.61,18.83,1.079,1.135,0.22,-66.31,24891.43,1985-12-31,2026-06-19,40.47,38.4,21.8,884,2.0,1,1,0,1,0.2,1.0,0.0
ftse250,SMA200 + RSI>50 2x,2.0,10.38,15.37,0.895,0.821,0.149,-69.57,5433.47,1985-12-31,2026-06-19,40.47,50.9,17.2,694,2.0,1,0,0,1,0.2,1.0,0.0
ftse250,SMA200 + MACD bull cross 2x,2.0,3.3,3.5,0.399,0.111,0.106,-31.08,371.25,1985-12-31,2026-06-19,40.47,97.5,12.4,502,2.0,1,0,1,0,0.2,0.0,1.0
ftse250,SMA200 +-3% Band + ADX>25 2x,2.0,7.61,16.08,0.495,0.382,0.121,-62.88,1938.21,1985-12-31,2026-06-19,40.47,57.1,11.1,449,2.0,1,0,0,0,0.2,1.0,0.0
ftse250,SMA200 +-3% Band + low VIX (<20) 2x,2.0,9.63,14.38,0.621,0.547,0.267,-36.09,4116.71,1985-12-31,2026-06-19,40.47,55.4,9.3,378,2.0,1,1,1,1,0.2,1.0,1.0
ftse250,"Sell in May (May-Oct -> cash, Nov-Apr -> 1x)",1.0,11.18,10.55,0.668,0.61,0.266,-42.01,7273.89,1985-12-31,2026-06-19,40.47,50.5,2.1,83,1.0,1,1,1,1,0.2,1.0,1.0
ftse250,"Sell in May 2x (May-Oct -> cash, Nov-Apr -> 2x)",2.0,15.88,21.09,0.65,0.595,0.234,-67.72,38797.53,1985-12-31,2026-06-19,40.47,50.5,2.1,83,2.0,1,1,0,1,0.2,1.0,0.0
gold,Buy & Hold 1x,1.0,13.58,17.83,0.566,0.751,0.321,-42.26,2670.0,2000-08-30,2026-06-19,25.8,0.0,0.1,2,1.0,0,0,0,0,0.15,0.0,0.0
gold,Buy & Hold 2x,2.0,18.18,35.66,0.545,0.723,0.245,-74.19,7436.55,2000-08-30,2026-06-19,25.8,0.0,0.1,2,2.0,0,0,0,1,0.15,0.0,0.0
gold,SMA20 1x/cash,1.0,6.49,13.07,0.416,0.416,0.2,-32.43,506.34,2000-08-30,2026-06-19,25.8,44.0,28.6,737,1.0,0,0,1,0,0.15,0.0,1.0
gold,SMA20 2x/cash,2.0,5.14,26.14,0.399,0.399,0.074,-69.64,364.15,2000-08-30,2026-06-19,25.8,44.0,28.6,737,2.0,0,0,0,0,0.15,0.0,0.0
gold,SMA200 1x/cash,1.0,10.16,14.96,0.47,0.514,0.258,-39.44,1212.19,2000-08-30,2026-06-19,25.8,29.4,8.0,207,1.0,0,0,1,0,0.15,0.0,1.0
gold,SMA200 2x/cash,2.0,11.89,29.92,0.452,0.495,0.173,-68.88,1811.33,2000-08-30,2026-06-19,25.8,29.4,8.0,207,2.0,0,0,0,0,0.15,0.0,0.0
gold,SMA50/200 Golden Cross 1x/cash,1.0,11.57,14.97,0.521,0.567,0.385,-30.05,1683.03,2000-08-30,2026-06-19,25.8,28.9,1.3,34,1.0,0,1,1,0,0.15,0.0,1.0
gold,SMA50/200 Golden Cross 2x/cash,2.0,14.99,29.93,0.502,0.548,0.245,-61.12,3667.4,2000-08-30,2026-06-19,25.8,28.9,1.3,34,2.0,0,0,0,1,0.15,0.0,0.0
gold,SMA200 +-3% Band 1x/cash,1.0,11.44,15.08,0.506,0.559,0.301,-38.05,1632.74,2000-08-30,2026-06-19,25.8,27.2,1.4,35,1.0,0,0,1,0,0.15,0.0,1.0
gold,SMA200 +-3% Band 2x/cash,2.0,14.63,30.16,0.488,0.539,0.21,-69.74,3384.91,2000-08-30,2026-06-19,25.8,27.2,1.4,35,2.0,0,0,0,1,0.15,0.0,0.0
gold,SMA200 +-3% Band + RSI>30 Exit 1x/cash,1.0,11.02,15.16,0.474,0.525,0.278,-39.64,1480.44,2000-08-30,2026-06-19,25.8,26.5,1.4,35,1.0,0,0,1,0,0.15,0.0,1.0
gold,SMA200 +-3% Band + RSI>30 Exit 2x/cash,2.0,13.68,30.31,0.456,0.505,0.192,-71.42,2732.34,2000-08-30,2026-06-19,25.8,26.5,1.4,35,2.0,0,0,0,1,0.15,0.0,0.0
gold,MACD 1x/cash,1.0,7.61,12.67,0.46,0.44,0.263,-28.92,662.26,2000-08-30,2026-06-19,25.8,48.0,20.2,522,1.0,0,0,1,0,0.15,0.0,1.0
gold,MACD 2x/cash,2.0,7.37,25.35,0.444,0.425,0.135,-54.63,624.91,2000-08-30,2026-06-19,25.8,48.0,20.2,522,2.0,0,0,0,0,0.15,0.0,0.0
gold,BB Mean Reversion 1x/cash,1.0,8.02,8.48,0.473,0.278,0.508,-15.78,730.43,2000-08-30,2026-06-19,25.8,79.9,7.6,196,1.0,0,1,1,0,0.15,0.0,1.0
gold,BB Mean Reversion 2x/cash,2.0,9.17,16.95,0.463,0.273,0.294,-31.16,959.79,2000-08-30,2026-06-19,25.8,79.9,7.6,196,2.0,0,0,1,0,0.15,0.0,1.0
gold,Momentum 12m 1x/cash,1.0,10.25,15.48,0.457,0.501,0.259,-39.56,1237.63,2000-08-30,2026-06-19,25.8,28.0,5.7,148,1.0,0,0,1,0,0.15,0.0,1.0
gold,Momentum 12m 2x/cash,2.0,11.99,30.96,0.439,0.482,0.175,-68.31,1854.06,2000-08-30,2026-06-19,25.8,28.0,5.7,148,2.0,0,0,0,0,0.15,0.0,0.0
gold,Guarded A5/B25 2x,2.0,6.34,23.84,0.458,0.481,0.09,-70.59,488.15,2000-08-30,2026-06-19,25.8,44.0,29.3,755,1.85,0,0,0,0,0.15,0.0,0.0
gold,Guarded A10/B20 2x,2.0,5.44,21.26,0.407,0.423,0.088,-61.82,391.29,2000-08-30,2026-06-19,25.8,44.0,28.8,744,1.64,0,0,0,0,0.15,0.0,0.0
gold,Guarded+ (200/2x/floor) 2x,2.0,8.42,24.49,0.337,0.364,0.132,-63.89,804.24,2000-08-30,2026-06-19,25.8,29.4,8.5,220,1.59,0,0,0,0,0.15,0.0,0.0
gold,Golden 2x volguard,2.0,15.22,27.67,0.556,0.599,0.267,-56.93,3862.95,2000-08-30,2026-06-19,25.8,28.9,5.9,153,1.9,0,0,0,1,0.15,0.0,0.0
gold,SMA200 2x monthly,2.0,17.63,30.79,0.578,0.641,0.293,-60.12,6590.37,2000-08-30,2026-06-19,25.8,28.9,1.2,30,2.0,1,0,0,1,0.15,0.0,0.0
gold,SMA200 2x 3% band,2.0,14.63,30.16,0.488,0.539,0.21,-69.74,3384.91,2000-08-30,2026-06-19,25.8,27.2,1.4,35,2.0,0,0,0,1,0.15,0.0,0.0
gold,Mom 12m 2x/cash,2.0,11.99,30.96,0.439,0.482,0.175,-68.31,1854.06,2000-08-30,2026-06-19,25.8,28.0,5.7,148,2.0,0,0,0,0,0.15,0.0,0.0
gold,RSI Scale 1-2x,2.0,11.08,15.26,0.486,0.542,0.268,-41.34,1503.43,2000-08-30,2026-06-19,25.8,26.5,2.2,57,1.01,0,0,1,0,0.15,0.0,1.0
gold,VIX Scale 1-2x,2.0,9.98,21.21,0.391,0.406,0.2,-49.89,1162.66,2000-08-30,2026-06-19,25.8,26.5,8.4,217,1.2,0,0,0,0,0.15,0.0,0.0
gold,Distance Scale 1-2x,2.0,14.03,24.42,0.574,0.659,0.222,-63.23,2952.1,2000-08-30,2026-06-19,25.8,27.2,10.6,273,1.68,1,0,0,1,0.15,0.0,0.0
